"parameter","group","description"
"p00004","Physical","Stream width, feet"
"p00010","Physical","Temperature, water, degrees Celsius"
"p00020","Physical","Temperature, air, degrees Celsius"
"p00025","Physical","Barometric pressure, millimeters of mercury"
"p00028","Information","Agency analyzing sample, code"
"p00049","Physical","Surface area, square miles"
"p00060","Physical","Discharge, cubic feet per second"
"p00061","Physical","Discharge, instantaneous, cubic feet per second"
"p00065","Physical","Gage height, feet"
"p00076","Physical","Turbidity, water, unfiltered, nephelometric turbidity units"
"p00095","Physical","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
"p00191","Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter"
"p00300","Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter"
"p00301","Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, percent of saturation"
"p00400","Physical","pH, water, unfiltered, field, standard units"
"p00403","Physical","pH, water, unfiltered, laboratory, standard units"
"p00405","Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter"
"p00410","Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate"
"p00440","Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter"
"p00445","Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter"
"p00452","Inorganics, Major, Non-metals","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter"
"p00453","Inorganics, Major, Non-metals","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter"
"p00600","Nutrient","Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter"
"p00602","Nutrient","Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter"
"p00605","Nutrient","Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen"
"p00607","Nutrient","Organic nitrogen, water, filtered, milligrams per liter as nitrogen"
"p00608","Nutrient","Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen"
"p00610","Nutrient","Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen"
"p00613","Nutrient","Nitrite, water, filtered, milligrams per liter as nitrogen"
"p00615","Nutrient","Nitrite, water, unfiltered, milligrams per liter as nitrogen"
"p00618","Nutrient","Nitrate, water, filtered, milligrams per liter as nitrogen"
"p00620","Nutrient","Nitrate, water, unfiltered, milligrams per liter as nitrogen"
"p00623","Nutrient","Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen"
"p00625","Nutrient","Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen"
"p00630","Nutrient","Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen"
"p00631","Nutrient","Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen"
