parameter,group,description,Exclude,new parameter code,notes
p00004,Physical,"Stream width, feet",x,,
p00010,Physical,"Temperature, water, degrees Celsius",,,problem with outliers?
p00020,Physical,"Temperature, air, degrees Celsius",x,,
p00025,Physical,"Barometric pressure, millimeters of mercury",x,,
p00028,Information,"Agency analyzing sample, code",,,
p00049,Physical,"Surface area, square miles",x,,
p00060,Physical,"Discharge, cubic feet per second",,p00060c,
p00061,Physical,"Discharge, instantaneous, cubic feet per second",,p00060c,
p00065,Physical,"Gage height, feet",x,,
p00076,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",x,,
p00095,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",,,
p00191,"Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter",,,
p00300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",x,,
p00301,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, percent of saturation",x,,
p00400,Physical,"pH, water, unfiltered, field, standard units",,p00400c,
p00403,Physical,"pH, water, unfiltered, laboratory, standard units",,p00400c,
p00405,"Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter",,,
p00410,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",,p00410c,
p00440,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter",,p00440c,
p00445,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter",x,,
p00452,"Inorganics, Major, Non-metals","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",x,,
p00453,"Inorganics, Major, Non-metals","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",,p00440c,
p00600,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter",x,,
p00602,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter",x,,
p00605,Nutrient,"Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",x,,
p00607,Nutrient,"Organic nitrogen, water, filtered, milligrams per liter as nitrogen",x,,
p00608,Nutrient,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen",x,,
p00610,Nutrient,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen",x,,
p00613,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrogen",x,,
p00615,Nutrient,"Nitrite, water, unfiltered, milligrams per liter as nitrogen",x,,
p00618,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",,p00613c,
p00620,Nutrient,"Nitrate, water, unfiltered, milligrams per liter as nitrogen",x,,
p00623,Nutrient,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",x,,
